"ID","fur","Date","Location","Size","decimalLatitude","decimalLongitude","Sex","Season","Region","analysisLab","coordinatePrecision"
"X91.Mille",-20.66,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X92.Mille",-3.11,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X93.Mille",5.49,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X95.Mille",9.68,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X97.OldIn",7.39,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X98.OldIn",8.34,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X99.OldIn",-1.3,"2/19/18","FL","Large",30.8,-85.2,"Male","Winter","NW","CASIF",0.1
"X121.Falli",-54.42,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X122.Falli",-0.6,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X123.Falli",-9.41,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X124.Falli",5.05,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X125.Falli",-0.69,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X126.Falli",-2.33,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X127.Falli",-10.23,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X128.Falli",-8.73,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X129.Falli",-30.77,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X130.Falli",-18.9,"2/20/18","FL","Large",30.7,-85.5,NA,"Winter","NW","CASIF",0.1
"X45.KY.082417",-6.76,"8/24/17","KY","",37.15132,-86.09818,"Female","Summer","","CASIF",1e-05
"X46.KY.082617",-27.81,"8/26/17","KY","",37.18738,-86.10379,"Female","Summer","","CASIF",1e-05
"X47.KY.082517",-12.13,"8/25/17","KY","",37.18963,-86.10534,"Female","Summer","","CASIF",1e-05
"X48.KY.082517",-31,"8/25/17","KY","",37.18963,-86.10534,"Female","Summer","","CASIF",1e-05
"X49.KY.082517",-22.89,"8/25/17","KY","",37.17914,-86.10858,"Female","Summer","","CASIF",1e-05
"X50.KY.082617",-17.06,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X51.KY.082617",-19.66,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X52.KY.082617",-20.89,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X53.KY.082617",-14.77,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X54.KY.082617",-27.88,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X55.KY.082617",-2.38,"8/26/17","KY","",37.18738,-86.10379,"Male","Summer","","CASIF",1e-05
"X56.KY.082517",-13.65,"8/25/17","KY","",37.18963,-86.10534,"Male","Summer","","CASIF",1e-05
"X57.KY.082517",-15.63,"8/25/17","KY","",37.18963,-86.10534,"Male","Summer","","CASIF",1e-05
"X58.KY.082517",-15.85,"8/25/17","KY","",37.18963,-86.10534,"Male","Summer","","CASIF",1e-05
"X59.KY.082517",-23.82,"8/25/17","KY","",37.18963,-86.10534,"Male","Summer","","CASIF",1e-05
"X39.MD.091417",-29.13,"9/14/17","MD","",39.67725,-78.2291,"Female","Summer","","CASIF",1e-05
"X33.MD.092617",-38.78,"9/26/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
"X34.MD.091417",-50.44,"9/14/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
"X38.MD.090617",-19.81,"9/6/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
